autorinnenname,land,wohnort,titel,eingeladen_von,teilnahmejahr,geburtsjahr,geschlecht,vorgetragen_am,preis_gewonnen,wikipedia,webseite
Philipp Schönthaler,Deutschland,Konstanz,Ein Lied in allen Dingen,Hubert Winkels,07072013,13101976,m,Freitag,False,True,"http://archiv.bachmannpreis.orf.at/bachmannpreis.eu/de/autoren/4260/index.html"
Katja Petrowskaja,Deutschland,Berlin,Vielleicht Esther (Romanauszug),Hildegard E. Keller,07072013,03021970,w,Freitag,True,True,"http://archiv.bachmannpreis.orf.at/bachmannpreis.eu/de/autoren/4267/index.html"
Hannah Dübgen,Deutschland,Berlin,Schattenlider,Juri Steiner,07072013,01071977,w,Samstag,False,True,"http://archiv.bachmannpreis.orf.at/bachmannpreis.eu/de/autoren/4294/index.html"
Roman Ehrlich,Deutschland,Berlin,Das kalte Jahr (Auszug),Paul Jandl,07072013,01071983,m,Samstag,False,True,"http://archiv.bachmannpreis.orf.at/bachmannpreis.eu/de/autoren/4291/index.html"
Benjamin Maack,Deutschland,Hamburg,"„Wie man einen Käfer richtig fängt“ von Joachim Kaltenbach",Hubert Winkels,07072013,03041978,m,Samstag,False,True,"http://archiv.bachmannpreis.orf.at/bachmannpreis.eu/de/autoren/4279/index.html"
Nikola Anne Mehlhorn,Deutschland,Heidgraben,Requiem der Vierzigjährigen (Romanauszug),Juri Steiner,07072013,11091967,w,Samstag,False,True,"http://archiv.bachmannpreis.orf.at/bachmannpreis.eu/de/autoren/4276/index.html"
Stefan Moster,Deutschland,Espoo,Der Hund von Saloniki,Burkhard Spinnen,08072012,16081964,m,Donnerstag,False,True,"http://archiv.bachmannpreis.orf.at/bachmannpreis.eu/de/autoren/3801/index.html"
Hugo Ramnek,"Österreich, Schweiz",Zürich,Kettenkarussell ,Hildegard E. Keller,08072012,01071960,m,Donnerstag,False,False,"http://archiv.bachmannpreis.orf.at/bachmannpreis.eu/de/autoren/3795/index.html"
Mirjam Richner,Schweiz,Unterentfelden,Bettlägerige Geheimnisse,Meike Feßmann,08072012,01071988,w,Donnerstag,False,False,"http://archiv.bachmannpreis.orf.at/bachmannpreis.eu/de/autoren/3792/index.html"
Andreas Stichmann,Deutschland,Hamburg,Der Einsteiger,Meike Feßmann,08072012,01071983,m,Donnerstag,False,True,"http://archiv.bachmannpreis.orf.at/bachmannpreis.eu/de/autoren/3786/index.html"
Sabine Hassinger,Deutschland,Berlin,Die Taten und Laute des Tages,Daniela Strigl,08072012,01071958,w,Donnerstag,False,True,"http://archiv.bachmannpreis.orf.at/bachmannpreis.eu/de/autoren/3815/index.html"
Inger-Maria Mahlke,Deutschland,Berlin,ohne Titel,Burkhard Spinnen,08072012,01071977,w,Freitag,True,True,"http://archiv.bachmannpreis.orf.at/bachmannpreis.eu/de/autoren/3809/index.html"
Cornelia Travnicek,Österreich,Traismauer,Junge Hunde (Romanauszug),Hubert Winkels,08072012,22011987,w,Freitag,True,True,"http://archiv.bachmannpreis.orf.at/bachmannpreis.eu/de/autoren/3782/index.html"
Olga Martynova,"Deutschland, Russland",Frankfurt/Main,"Ich werde sagen: „HI“",Paul Jandl,08072012,26021962,w,Freitag,True,True,"http://archiv.bachmannpreis.orf.at/bachmannpreis.eu/de/autoren/3806/index.html"
Lisa Kränzler,Deutschland,Freiburg,Willste abhauen,Hubert Winkels,08072012,25121983,w,Freitag,True,True,"http://archiv.bachmannpreis.orf.at/bachmannpreis.eu/de/autoren/3812/index.html"
Simon Froehling,Schweiz,Zürich,Ich werde dich finden (Romanauszug),Corina Caduff,08072012,01071978,m,Freitag,False,True,"http://archiv.bachmannpreis.orf.at/bachmannpreis.eu/de/autoren/3818/index.html"
Matthias Nawrat,"Deutschland, Schweiz","Bamberg, Biel",Unternehmer,Hildegard E. Keller,08072012,01071979,m,Samstag,True,True,"http://archiv.bachmannpreis.orf.at/bachmannpreis.eu/de/autoren/3800/index.html"
Matthias Senkel,Deutschland,Leipzig,Aufzeichnungen aus der Kuranstalt,Paul Jandl,08072012,01071977,m,Samstag,False,True,"http://archiv.bachmannpreis.orf.at/bachmannpreis.eu/de/autoren/3789/index.html"
Leopold Federmair,Österreich,Hiroshima,Aki,Daniela Strigl,08072012,25081957,m,Samstag,False,True,"http://archiv.bachmannpreis.orf.at/bachmannpreis.eu/de/autoren/3824/index.html"
Isabella Feimer,Österreich,Wien,Abgetrennt,Corina Caduff,08072012,01071976,w,Samstag,False,False,"http://archiv.bachmannpreis.orf.at/bachmannpreis.eu/de/autoren/3820/index.html"
Gunther Geltinger,Deutschland,Köln,Auszug aus einem Roman,Alain Claude Sulzer,10072011,01071974,m,Donnerstag,False,True,"http://archiv.bachmannpreis.orf.at/bachmannpreis.eu/de/autoren/2950/index.html"
Maximilian Steinbeis,Deutschland,Berlin,Einen Schatz vergraben,Burkhard Spinnen,10072011,07091970,m,Donnerstag,False,True,"http://archiv.bachmannpreis.orf.at/bachmannpreis.eu/de/autoren/2979/index.html"
Daniel Wisser,Österreich,Wien,Standby (Romanauszug),Paul Jandl,10072011,21051971,m,Donnerstag,False,True,"http://archiv.bachmannpreis.orf.at/bachmannpreis.eu/de/autoren/2982/index.html"
Anna Maria Praßler,Deutschland,Berlin,Das Andere,Burkhard Spinnen,10072011,01071983,w,Donnerstag,False,False,"http://archiv.bachmannpreis.orf.at/bachmannpreis.eu/de/autoren/2963/index.html"
Antonia Baum,Deutschland,Berlin,"Vollkommen leblos, bestenfalls tot",Hubert Winkels,10072011,01071984,w,Donnerstag,False,True,"http://archiv.bachmannpreis.orf.at/bachmannpreis.eu/de/autoren/2941/index.html"
Linus Reichlin,Deutschland,Berlin,Weltgegend ,Meike Feßmann,10072011,09061957,m,Freitag,False,True,"http://archiv.bachmannpreis.orf.at/bachmannpreis.eu/de/autoren/2973/index.html"
Maja Haderlap,Österreich,Klagenfurt,Im Kessel,Daniela Strigl,10072011,08031961,w,Freitag,True,True,"http://archiv.bachmannpreis.orf.at/bachmannpreis.eu/de/autoren/2953/index.html"
Julya Rabinowich,Österreich,Wien,Erdfresserin (Romanauszug),Daniela Strigl,10072011,01071970,w,Freitag,False,True,"http://archiv.bachmannpreis.orf.at/bachmannpreis.eu/de/autoren/2966/index.html"
Nina Bußmann,Deutschland,Berlin,Große Ferien (Romanauszug),Paul Jandl,10072011,01071980,w,Freitag,True,True,"http://archiv.bachmannpreis.orf.at/bachmannpreis.eu/de/autoren/2947/index.html"
Steffen Popp,Deutschland,Berlin,Spur einer Dorfgeschichte,Meike Feßmann,10072011,18071978,m,Freitag,True,True,"http://archiv.bachmannpreis.orf.at/bachmannpreis.eu/de/autoren/2960/index.html"
Leif Randt,Deutschland,Berlin,Schimmernder Dunst über Cobycounty (Romanauszug),Alain Claude Sulzer,10072011,01071983,m,Samstag,True,True,"http://archiv.bachmannpreis.orf.at/bachmannpreis.eu/de/autoren/2970/index.html"
Anne Richter,Deutschland,Heidelberg,Geschwister,Hildegard E. Keller,10072011,01071973,w,Samstag,False,False,"http://archiv.bachmannpreis.orf.at/bachmannpreis.eu/de/autoren/2975/index.html"
Michel Božiković,Schweiz,Zürich,Wespe,Hildegard E. Keller,10072011,01071971,m,Samstag,False,False,"http://archiv.bachmannpreis.orf.at/bachmannpreis.eu/de/autoren/2944/index.html"
Thomas Klupp,Deutschland,Berlin,9to5 Hardcore,Hubert Winkels,10072011,01071977,m,Samstag,True,True,"http://archiv.bachmannpreis.orf.at/bachmannpreis.eu/de/autoren/2956/index.html"
Sabrina Janesch,"Deutschland, Polen",Cottbus,Katzenberge,Alain Claude Sulzer,27062010,01071985,w,Donnerstag,False,True,"http://archiv.bachmannpreis.orf.at/bachmannpreis.eu/de/autoren/2278/index.html"
