autorinnenname,land,wohnort,titel,eingeladen_von,teilnahmejahr,geburtsjahr,geschlecht,vorgetragen_am,preis_gewonnen,wikipedia,webseite
"Ulla Berkéwicz","Deutschland (BRD)",Hamburg,"Josef stirbt",None,27061982,05111948,w,vorgetragen_am,True,True,webseite
Wolfgang Georg Fischer,Österreich,London,titel,None,27061982,24101933,m,vorgetragen_am,False,True,webseite
Robert Gratzer,Österreich,Klagenfurt,titel,None,27061982,09071948,m,vorgetragen_am,False,True,webseite
Alfred Gulden,"Deutschland (BRD)",München,titel,None,27061982,25011944,m,vorgetragen_am,False,True,webseite
Brigitte Gutenbrunner,Wien,wohnort,titel,None,27061982,geburtsjahr,w,vorgetragen_am,False,False,webseite
Roswitha Hamadani,Österreich,Zürich,titel,None,27061982,07081944,w,vorgetragen_am,False,True,webseite
Walter Klier,Österreich,Innsbruck,titel,None,27061982,05071955,m,vorgetragen_am,False,True,webseite
Friedrich Wilhelm Korff,"Deutschland (BRD)",Wennigsen,titel,None,27061982,29121939,m,vorgetragen_am,False,True,webseite
Jochen Link,"Deutschland (BRD)",Hohensolms,titel,None,27061982,09051943,m,vorgetragen_am,False,True,webseite
Jürgen Lodemann,"Deutschland (BRD)",Baden-Baden,titel,None,27061982,28031936,m,vorgetragen_am,False,True,webseite
Engelbert Obernosterer,Österreich,Hermagor,titel,None,27061982,28121936,m,vorgetragen_am,False,True,webseite
Hanns-Josef Ortheil,"Deutschland (BRD)",Wiesbaden,titel,None,27061982,05111951,m,vorgetragen_am,False,True,webseite
Udo Rabsch,"Deutschland (BRD)",Stuttgart,titel,None,27061982,01071944,m,vorgetragen_am,False,True,webseite
Gerald Szyszkowitz,Österreich,WIen,titel,None,27061982,22071938,m,vorgetragen_am,False,True,webseite
Einar Schleef,"Deutschland (BRD)",Berlin,titel,None,27061982,17011944,m,vorgetragen_am,False,True,webseite
Erasmus Schöfer,"Deutschland (BRD)",Köln,titel,None,27061982,04061931,m,vorgetragen_am,False,True,webseite
Lothar Schöne,"Deutschland (BRD)",Mainz,titel,None,27061982,16071949,m,vorgetragen_am,False,True,webseite
Jutta Schutting,Österreich,Wien,titel,None,27061982,25101937,w,vorgetragen_am,False,True,webseite
Walter Vogl,Österreich,Wien,"Geräusche",None,27061982,26121958,m,vorgetragen_am,True,True,webseite
Johanna Walser,"Deutschland (BRD)",Berlin,titel,None,27061982,03041957,w,vorgetragen_am,False,True,webseite
Uwe Wolff,"Deutschland (BRD)",Münster,titel,None,27061982,geburtsjahr,m,vorgetragen_am,False,False,webseite
Irina Zaharescu,Österreich,Innsbruck,titel,None,27061982,geburtsjahr,w,vorgetragen_am,False,False,webseite
Michael Zeller,"Deutschland (BRD)",Nürnberg,titel,None,27061982,29101944,m,vorgetragen_am,False,True,webseite
Matthias Zschokke,Schweiz,Berlin,titel,None,27061982,29101954,m,vorgetragen_am,False,True,webseite
Gerald Zschorsch,"Deutschland (BRD)","Frankfurt/Main",titel,None,27061982,25121951,m,vorgetragen_am,False,True,webseite
Emil Zopfi,Schweiz,Zürich,titel,None,27061981,04011943,m,"1. Lesetag",False,True,webseite
Guntram Vesper,"Deutschland (BRD)",Göttingen,"Niemands Land (Teilentwurf einer längeren Prosaarbeit)",None,27061981,28051941,m,"1. Lesetag",False,True,webseite
Pascal Morché,"Deutschland (BRD)",München,titel,None,27061981,geburtsjahr,m,"1. Lesetag",False,False,webseite
Zbigniew Krempf,Polen,Rzeszow,titel,None,27061981,geburtsjahr,m,"1. Lesetag",False,False,webseite
Michael Rößner,Österreich,Wien,titel,None,27061981,geburtsjahr,m,"1. Lesetag",False,False,webseite
Rolf Niederhauser,Schweiz,Basel,"Nada (Romanauszug)",None,27061981,25101951,m,"1. Lesetag",False,True,webseite
Ulrich Schacht,"Deutschland (BRD)",Hamburg,"Gesicherte Spiele (Aus einer Erzählung)",None,27061981,09031951,m,"1. Lesetag",False,True,webseite
Ilma Rakusa,Schweiz,Esslingen,"Zwei wahre Geschichten (Reykjavik und Besuch in Russikon)",None,27061981,02011946,w,"1. Lesetag",False,True,webseite
Elfriede Czurda,Österreich,Wien,titel,None,27061981,25041946,w,"2. Lesetag",False,True,webseite
Franz Mechsner,"Deutschland (BRD)",Tübingen,"Spaziergang",None,27061981,22101953,m,"2. Lesetag",True,True,webseite
Günter Hein,"Deutschland (BRD)",Niederwerrn,titel,None,27061981,geburtsjahr,m,"2. Lesetag",False,False,webseite
Urs Jaeggi,Schweiz,Berlin,"Ruth (Romanauszug)",None,27061981,23061931,m,"2. Lesetag",True,True,webseite
Dominik Brun,Schweiz,Engelberg,"Schürfungen (Auszug aus einem längeren Prosawerk)",None,27061981,21081948,m,"2. Lesetag",True,True,webseite
Margrit Schriber,Schweiz,Rothirst,titel,None,27061981,04061939,w,"2. Lesetag",False,True,webseite
Christoph Burgauner,"Deutschland (BRD)",München,titel,None,27061981,12051944,m,"2. Lesetag",False,False,webseite
Eva Demski,"Deutschland (BRD)","Frankfurt/Main","Karneval (Romanauszug)",None,27061981,geburtsjahr,w,"2. Lesetag",True,True,webseite
Andreas Nohl,"Deutschland (BRD)","Frankfurt/Main","Entzweit",None,27061981,26081954,m,"3. Lesetag",False,True,webseite
Pierre Imhasly,Schweiz,Visp,titel,None,27061981,14111939,m,"3. Lesetag",False,True,webseite
Gisela Zies,"Deutschland (BRD)",Berlin,"Paula (Aus einem längeren Prosawerk)",None,27061981,13061939,w,"3. Lesetag",False,True,webseite
Joseph Zoderer,Italien,Trenten,"Die Walsche (Romanauszug)",None,27061981,25111935,m,"3. Lesetag",False,True,webseite
Klaus Hoffer,Österreich,Graz,"Die Strafe",None,27061981,27121942,m,"3. Lesetag",False,True,webseite
Adelheid Duvanel,Schweiz,Basel,"Verfolgung",None,27061981,23041936,w,"3. Lesetag",False,True,webseite
Anton Dekan,Österreich,Tainach,titel,None,27061981,18121948,m,"3. Lesetag",False,True,webseite
Frank-Wolf Matthies,"Deutschland (BRD)",Berlin,"Bericht aus dem Nachlass oder Imago",None,27061981,04101951,m,"3. Lesetag",False,True,webseite
Thomas Hürlimann,Schweiz,Berlin,"Die Tessinerin",None,27061981,21121950,m,"4. Lesetag",False,True,webseite
Elisabeth Meylan,Schweiz,Genf,titel,None,27061981,14061937,w,"4. Lesetag",False,True,webseite
Christoph Kubelka,Österreich,Klagenfurt,titel,None,27061981,geburtsjahr,m,"4. Lesetag",False,False,webseite
Maja Beutler,Schweiz,Bern,"Alex",None,27061981,08121936,w,"4. Lesetag",False,True,webseite
Ursula Adam,"Deutschland (BRD)",Klagenfurt,titel,None,27061980,13111922,w,vorgetragen_am,False,True,webseite
Elisabeth Albertsen,"Deutschland (BRD)",Bad VIlbel,titel,None,27061980,15091939,w,vorgetragen_am,False,True,webseite
Margrit Baur,Schweiz,Aliswil,titel,None,27061980,09101937,w,vorgetragen_am,False,True,webseite
Hans Christoph Buch,"Deutschland (BRD)",Berlin,titel,None,27061980,13041944,m,vorgetragen_am,False,True,webseite
Margrit von Dach,Schweiz,Paris,titel,None,27061980,24061946,w,vorgetragen_am,False,True,webseite
Hans Drawe,"Deutschland (BRD)",Heppenheim,titel,None,27061980,01071942,m,vorgetragen_am,False,True,webseite
Roderich Feldes,"Deutschland (BRD)",Eschenburg,titel,None,27061980,21121946,m,vorgetragen_am,False,True,webseite
Waltraud Friz,Österreich,Villach,titel,None,27061980,geburtsjahr,w,vorgetragen_am,False,False,webseite
Anton Fuchs,Österreich,Klagenfurt,titel,None,27061980,29011920,m,vorgetragen_am,False,True,webseite
Christoph Geiser,Schweiz,Bern,titel,None,27061980,03081949,m,vorgetragen_am,False,True,webseite
Henning Grunwald,"Deutschland (BRD)",Erlangen,titel,None,27061980,09011942,m,vorgetragen_am,False,True,webseite
Martin Grzimek,"Deutschland (BRD)",Heidelberg,titel,None,27061980,08041950,m,vorgetragen_am,False,True,webseite
Christine Haidegger,Österreich,Salzburg,titel,None,27061980,27021942,w,vorgetragen_am,False,True,webseite
Margarete Jehn,"Deutschland (BRD)",Worpswede,titel,None,27061980,27021935,w,vorgetragen_am,False,True,webseite
Anna Jonas,"Deutschland (BRD)",Berlin,"Das Haus der Tante",None,27061980,08061944,w,vorgetragen_am,True,True,webseite
Hermann Kinder,"Deutschland (BRD)",Konstanz,titel,None,27061980,18051944,m,vorgetragen_am,False,True,webseite
Bodo Kirchhoff,"Deutschland (BRD)","Frankfurt/Main",titel,None,27061980,06071948,m,vorgetragen_am,False,True,webseite
Brigitte Kronauer,"Deutschland (BRD)",Hamburg,titel,None,27061980,29121940,w,vorgetragen_am,False,True,webseite
Jürgen Lodemann,"Deutschland (BRD)",Karlsruhe,titel,None,27061980,28031936,m,vorgetragen_am,False,True,webseite
Klaus Merz,Schweiz,Unterkulm,titel,None,27061980,03101945,m,vorgetragen_am,False,True,webseite
Sten Nadolny,"Deutschland (BRD)",Berlin,"Kopenhagen 1801 (Kapitel aus Die Entdeckung der Langsamkeit)",None,27061980,29071942,m,vorgetragen_am,True,True,webseite
Edwin Ortmann,"Deutschland (BRD)",München,titel,None,27061980,05031941,m,vorgetragen_am,False,True,webseite
Ingrid Puganigg,Österreich,Höchst,"Fasnacht",None,27061980,01071947,w,vorgetragen_am,True,True,webseite
Renate Rasp,"Deutschland (BRD)",München,titel,None,27061980,03011935,w,vorgetragen_am,False,True,webseite
Peter Renz,"Deutschland (BRD)",Weingarten,titel,None,27061980,08061946,m,vorgetragen_am,False,True,webseite
Martin Roda Becher,Schweiz,Basel,titel,None,27061980,21101944,m,vorgetragen_am,False,True,webseite
Peter Roos,"Deutschland (BRD)",Bochum,titel,None,27061980,30061950,m,vorgetragen_am,False,True,webseite
Peter Schalmey,"Deutschland (BRD)",München,titel,None,27061980,geburtsjahr,m,vorgetragen_am,False,False,webseite
Jurek Becker,"Deutschland (DDR)",Berlin,titel,None,27061979,30011937,m,vorgetragen_am,False,True,webseite
Franz Böni,Schweiz,Zürich,titel,None,27061979,17061952,m,vorgetragen_am,False,True,webseite
Jan Christ,"Deutschland (BRD)",Jesteburg,titel,None,27061979,28061934,m,vorgetragen_am,False,True,webseite
Helmut Degner,Österreich,München,titel,None,27061979,24031929,m,vorgetragen_am,False,True,webseite
Ernst-Jürgen Dreyer,"Deutschland (BRD)",Murnau,titel,None,27061979,20081934,m,vorgetragen_am,False,True,webseite
Gunter Falk,Österreich,Graz,titel,None,27061979,26101942,m,vorgetragen_am,False,True,webseite
Maria Felsenreich,Österreich,Wien,titel,None,27061979,geburtsjahr,w,vorgetragen_am,False,False,webseite
Markus Fenner,"Deutschland (BRD)",München-Pullach,titel,None,27061979,geburtsjahr,m,vorgetragen_am,False,False,webseite
Marianne Gruber,Österreich,WIen,titel,None,27061979,04061944,w,vorgetragen_am,False,True,webseite
Lukas Hartmann,Schweiz,Bern,titel,None,27061979,29081944,m,vorgetragen_am,False,True,webseite
Gert Hofmann,"Deutschland (BRD)",Klagenfurt,"Die Fistelstimme",None,27061979,29011931,m,vorgetragen_am,True,True,webseite
Heribert Hopf,"Deutschland (BRD)",München,titel,None,27061979,14021936,m,vorgetragen_am,False,True,webseite
Karl Günther Hufnagel,"Deutschland (BRD)",München,titel,None,27061979,21071928,m,vorgetragen_am,False,True,webseite
Katrine von Hutten,"Deutschland (BRD)",Lohr-Steinbach,titel,None,27061979,03051944,w,vorgetragen_am,False,True,webseite
Hanna Johansen,Schweiz,Kilchberg,titel,None,27061979,17061939,w,vorgetragen_am,False,True,webseite
Diana Kempff,"Deutschland (BRD)",Ammerland,titel,None,27061979,11061945,w,vorgetragen_am,False,True,webseite
Paul Kersten,"Deutschland (BRD)",Hamburg,titel,None,27061979,23061943,m,vorgetragen_am,False,True,webseite
Klaus Konjetzky,"Deutschland (BRD)",München,titel,None,27061979,02051943,m,vorgetragen_am,False,True,webseite
Dieter Kühn,"Deutschland (BRD)",Düren,titel,None,27061979,01021935,m,vorgetragen_am,False,True,webseite
Martin Luksan,Österreich,Wien,titel,None,27061979,01071947,m,vorgetragen_am,False,True,webseite
Dorothea Macheiner,Österreich,Salzburg,titel,None,27061979,21031943,w,vorgetragen_am,False,True,webseite
Ernst Nowak,Österreich,Wien,titel,None,27061979,13031944,m,vorgetragen_am,False,True,webseite
Doris Richter,"Deutschland (BRD)","Frankfurt/Main",titel,None,27061979,geburtsjahr,w,vorgetragen_am,False,False,webseite
Erich Wolfgang Skwara,Österreich,Salzburg,titel,None,27061979,04111948,m,vorgetragen_am,False,True,webseite
Josef Winkler,Österreich,Klagenfurt,"Bilder aus der Arbeit: Der Ackermann aus Kärnten",None,27061979,03031953,m,vorgetragen_am,True,True,webseite
Gerald Zschorsch,"Deutschland (BRD)",Pohlheim,titel,None,27061979,25121951,m,vorgetragen_am,False,True,webseite
Walter Müller,Österreich,Salzburg,"Apocalypso",None,27061979,01071950,m,vorgetragen_am,True,True,webseite
Katja Behrens,"Deutschland (BRD)",Almendfeld,titel,None,27061978,18121942,w,vorgetragen_am,False,True,webseite
Hermann Burger,Schweiz,Küttigen,titel,None,27061978,10071942,m,vorgetragen_am,False,True,webseite
Catarina Carsten,"Deutschland, Österreich","Puch bei Salzburg",titel,None,27061978,23041920,w,vorgetragen_am,False,True,webseite
Jeannie Ebner,Österreich,Wien,titel,None,27061978,17111918,w,vorgetragen_am,False,True,webseite
Helmut Eisendle,Österreich,München,titel,None,27061978,12011939,m,vorgetragen_am,False,True,webseite
Ludwig Fels,"Deutschland (BRD)",Nürnberg,titel,None,27061978,27111946,m,vorgetragen_am,False,True,webseite
Herbert Fleck,Österreich,Neumarkt,titel,None,27061978,01071941,m,vorgetragen_am,False,True,webseite
Christoph Geiser,Schweiz,Bern,titel,None,27061978,03081949,m,vorgetragen_am,False,True,webseite
Heidulf Gerngross,Österreich,Wien,titel,None,27061978,01071939,m,vorgetragen_am,False,True,webseite
Christine Haidegger,Österreich,Salzburg,titel,None,27061978,27021942,w,vorgetragen_am,False,True,webseite
Hermann Kinder,"Deutschland (BRD)",Konstanz,titel,None,27061978,18051944,m,vorgetragen_am,False,True,webseite
Ursula Krechel,"Deutschland (BRD)","Frankfurt/Main",titel,None,27061978,04121947,w,vorgetragen_am,False,True,webseite
Gertrud Leutenegger,Schweiz,Uetikon am See,titel,None,27061978,07121948,w,vorgetragen_am,False,True,webseite
Angelika Mechtel,"Deutschland (BRD)",München,titel,None,27061978,26081943,w,vorgetragen_am,False,True,webseite
"E. Y. Meyer",Schweiz,Wabern,titel,None,27061978,11101946,m,vorgetragen_am,False,True,webseite
Engelbert Obernosterer,Österreich,Hermagor,titel,None,27061978,28121936,m,vorgetragen_am,False,True,webseite
Hanns-Josef Ortheil,"Deutschland (BRD)",Wiesbaden,titel,None,27061978,05111951,m,vorgetragen_am,False,True,webseite
Erika Pedretti,Schweiz,La Neuveville,titel,None,27061978,25021930,w,vorgetragen_am,False,True,webseite
Ulrich Plenzdorf,"Deutschland (DDR)",Berlin,titel,None,27061978,26101934,m,vorgetragen_am,False,True,webseite
Peter Renz,"Deutschland (BRD)",Weingarten,titel,None,27061978,08061946,m,vorgetragen_am,False,True,webseite
Eva Schindler,"Deutschland (BRD)",München,titel,None,27061978,12051930,w,vorgetragen_am,False,True,webseite
Jutta Schutting,Österreich,Wien,titel,None,27061978,25101937,w,vorgetragen_am,False,True,webseite
Helga Schütz,"Deutschland (DDR)",Groß Glienicke,titel,None,27061978,02101937,w,vorgetragen_am,False,True,webseite
Hannelies Taschau,"Deutschland (BRD)",Hameln,titel,None,27061978,26041937,w,vorgetragen_am,False,True,webseite
"O. P. Zier",Österreich,Lend,titel,None,27061978,20101954,m,vorgetragen_am,False,True,webseite
Rolf Schneider,"Deutschland (DDR)",wohnort,titel,None,27061977,17041932,m,"1. Lesetag",False,True,webseite
Hermann Friedl,Österreich,Weissenau,titel,None,27061977,21021920,m,"1. Lesetag",False,True,webseite
Walter Kappacher,Österreich,Salzburg,titel,None,27061977,24101938,m,"1. Lesetag",False,True,webseite
Gerhard Meier,Schweiz,Niederbipp,titel,None,27061977,20061917,m,"1. Lesetag",False,True,webseite
Heinz Pototschnig,Österreich,Villach,titel,None,27061977,30061923,m,"1. Lesetag",False,True,webseite
Godehard Schramm,"Deutschland (BRD)",Nürnberg,titel,None,27061977,24121943,m,"1. Lesetag",False,True,webseite
Peter Schalmey,"Deutschland (BRD)",München,titel,None,27061977,geburtsjahr,m,"1. Lesetag",False,False,webseite
Dieter Kühn,"Deutschland (BRD)",Düren,titel,None,27061977,01021935,m,"1. Lesetag",False,True,webseite
Jürg Laederach,Schweiz,Bottmingen,titel,None,27061977,20121945,m,"2. Lesetag",False,True,webseite
Gert Jonke,Österreich,Klagenfurt,"Erster Entwurf zum Beginn einer sehr langen Erzählung",None,27061977,08021946,m,"2. Lesetag",True,True,webseite
Karin Struck,"Deutschland (BRD)",Münster,titel,None,27061977,14051947,w,"2. Lesetag",False,True,webseite
Uwe Bolius,Österreich,WIen,titel,None,27061977,06081940,m,"2. Lesetag",False,True,webseite
Marie-Thérèse Kerschbaumer,Österreich,Wien,titel,None,27061977,31081936,w,"2. Lesetag",False,True,webseite
Herbert Eisenreich,Österreich,Tamsweg,titel,None,27061977,07021925,m,"2. Lesetag",False,True,webseite
Hans-Jürgen Fröhlich,"Deutschland (BRD)",München,"Einschüchterungsversuche",None,27061977,04081932,m,"2. Lesetag",True,True,webseite
Maria Elisabeth Straub,"Deutschland (BRD)",Hamburg,titel,None,27061977,15111943,w,"2. Lesetag",False,True,webseite
Klaus Stiller,"Deutschland (BRD)",Berlin,titel,None,27061977,15041941,m,"3. Lesetag",False,True,webseite
Renate Schostack,"Deutschland (BRD)","Frankfurt/Main","Das Haus",None,27061977,10011938,w,"3. Lesetag",True,True,webseite
Horst Bienek,"Deutschland (BRD)",Ottobrunn,titel,None,27061977,07051930,m,"3. Lesetag",False,True,webseite
Vintila Ivanceanu,Österreich,Wien,titel,None,27061977,26121940,m,"3. Lesetag",False,True,webseite
Elisabeth Plessen,"Deutschland (BRD)",Berlin,titel,None,27061977,15031944,w,"3. Lesetag",False,True,webseite
Jost Perfahl,"Deutschland (BRD)",München,titel,None,27061977,geburtsjahr,m,"3. Lesetag",False,False,webseite
Reto Hänny,Schweiz,Zürich,titel,None,27061977,13041947,m,"3. Lesetag",False,True,webseite
